DateTime,Actual,Predicted
2021-09-30,141.5,140.99042
2021-10-01,142.64999389648438,140.49614
2021-10-04,139.13999938964844,140.07121
2021-10-05,141.11000061035156,139.52545
2021-10-06,142.0,139.06406
2021-10-07,143.2899932861328,138.70506
2021-10-08,142.89999389648438,138.49088
2021-10-11,142.80999755859375,138.35432
2021-10-12,141.50999450683594,138.2798
2021-10-13,140.91000366210938,138.18835
2021-10-14,143.75999450683594,138.07536
2021-10-15,144.83999633789062,138.10416
2021-10-18,146.5500030517578,138.25192
2021-10-19,148.75999450683594,138.55034
2021-10-20,149.25999450683594,139.03099
2021-10-21,149.47999572753906,139.61412
2021-10-22,148.69000244140625,140.24516
2021-10-25,148.63999938964844,140.83595
2021-10-26,149.32000732421875,141.37633
2021-10-27,148.85000610351562,141.88937
